token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
1,GOLDSTAR-SM,GOLDSTAR,,-1,11250,,NSE,5
1011,SCHAEFFLER-EQ,SCHAEFFLER,,-1,1,,NSE,10
10181,BALKRISHNA-EQ,BALKRISHNA,,-1,1,,NSE,1
10277,NGLFINE-EQ,NGLFINE,,-1,1,,NSE,10
10310,AURUM-EQ,AURUM,,-1,1,,NSE,1
10508,MOHEALTH-EQ,MOHEALTH,,-1,1,,NSE,1
10557,NAVKARCORP-EQ,NAVKARCORP,,-1,1,,NSE,1
10568,RAMAPHO-EQ,RAMAPHO,,-1,1,,NSE,1
10684,SHAIVAL-ST,SHAIVAL,,-1,3600,,NSE,5
10791,NUCLEUS-EQ,NUCLEUS,,-1,1,,NSE,10
10793,SYRMA-EQ,SYRMA,,-1,1,,NSE,5
10871,GRMOVER-EQ,GRMOVER,,-1,1,,NSE,5
10885,JFLLIFE-SM,JFLLIFE,,-1,6000,,NSE,5
10893,DBOL-EQ,DBOL,,-1,1,,NSE,1
10097,GUJRAFFIA-BE,GUJRAFFIA,,-1,1,,NSE,1
10300,RAMASTEEL-EQ,RAMASTEEL,,-1,1,,NSE,1
1041,FINPIPE-EQ,FINPIPE,,-1,1,,NSE,1
10447,UNITDSPR-EQ,UNITDSPR,,-1,1,,NSE,10
10485,RAMRAT-EQ,RAMRAT,,-1,1,,NSE,5
10604,BHARTIARTL-EQ,BHARTIARTL,,-1,1,,NSE,10
10634,ASAL-EQ,ASAL,,-1,1,,NSE,5
10661,PONNIERODE-EQ,PONNIERODE,,-1,1,,NSE,5
10666,PNB-EQ,PNB,,-1,1,,NSE,1
10825,MOVALUE-EQ,MOVALUE,,-1,1,,NSE,1
10865,GVPTECH-EQ,GVPTECH,,-1,1,,NSE,1
10945,TMB-EQ,TMB,,-1,1,,NSE,5
10999,MARUTI-EQ,MARUTI,,-1,1,,NSE,100
11072,AGRITECH-EQ,AGRITECH,,-1,1,,NSE,1
1110,DANGEE-EQ,DANGEE,,-1,1,,NSE,1
1127,GHCL-EQ,GHCL,,-1,1,,NSE,5
11241,HDFCGROWTH-EQ,HDFCGROWTH,,-1,1,,NSE,1
11256,JAIBALAJI-EQ,JAIBALAJI,,-1,1,,NSE,1
11297,SIL-EQ,SIL,,-1,1,,NSE,1
11343,AFFLE-EQ,AFFLE,,-1,1,,NSE,10
11359,DHANBANK-EQ,DHANBANK,,-1,1,,NSE,1
1139,GICHSGFIN-EQ,GICHSGFIN,,-1,1,,NSE,1
